2025-11-26 22:28:35 - step,loss,accuracy
2025-11-26 22:28:38 - 156,2.237549,0.187500
2025-11-26 22:28:38 - 157,2.163086,0.187500
2025-11-26 22:28:38 - 158,2.183594,0.187500
2025-11-26 22:28:38 - 159,2.107422,0.156250
2025-11-26 22:28:38 - 160,2.326172,0.062500
2025-11-26 22:28:38 - 161,2.084229,0.250000
2025-11-26 22:28:38 - 162,2.281494,0.062500
2025-11-26 22:28:38 - 163,2.165039,0.156250
2025-11-26 22:28:38 - 164,2.254395,0.218750
2025-11-26 22:28:38 - 165,2.178711,0.187500
2025-11-26 22:28:38 - 166,2.037109,0.312500
2025-11-26 22:28:38 - 167,2.232910,0.187500
2025-11-26 22:28:38 - 168,2.290527,0.156250
2025-11-26 22:28:38 - 169,2.251953,0.093750
2025-11-26 22:28:38 - 170,2.227051,0.250000
2025-11-26 22:28:38 - 171,2.108154,0.218750
2025-11-26 22:28:38 - 172,2.259766,0.218750
2025-11-26 22:28:38 - 173,2.218994,0.125000
2025-11-26 22:28:38 - 174,2.109863,0.312500
2025-11-26 22:28:38 - 175,2.098877,0.281250
2025-11-26 22:28:38 - 176,2.282959,0.125000
2025-11-26 22:28:38 - 177,2.220215,0.093750
2025-11-26 22:28:38 - 178,2.257568,0.125000
2025-11-26 22:28:38 - 179,2.218994,0.187500
2025-11-26 22:28:38 - 180,2.161377,0.250000
2025-11-26 22:28:38 - 181,2.212402,0.187500
2025-11-26 22:28:38 - 182,2.139893,0.281250
2025-11-26 22:28:38 - 183,2.251953,0.156250
2025-11-26 22:28:38 - 184,2.225586,0.187500
2025-11-26 22:28:38 - 185,2.102783,0.187500
2025-11-26 22:28:38 - 186,2.129150,0.187500
2025-11-26 22:28:38 - 187,2.186279,0.187500
2025-11-26 22:28:38 - 188,2.320068,0.187500
2025-11-26 22:28:38 - 189,2.095459,0.218750
2025-11-26 22:28:38 - 190,2.202637,0.062500
2025-11-26 22:28:38 - 191,2.228027,0.187500
2025-11-26 22:28:38 - 192,2.111572,0.218750
2025-11-26 22:28:38 - 193,2.197510,0.218750
2025-11-26 22:28:38 - 194,2.214844,0.125000
2025-11-26 22:28:38 - 195,2.228516,0.093750
2025-11-26 22:28:38 - 196,2.147461,0.312500
2025-11-26 22:28:38 - 197,2.096680,0.218750
2025-11-26 22:28:38 - 198,2.161865,0.156250
2025-11-26 22:28:38 - 199,2.196289,0.187500
2025-11-26 22:28:38 - 200,2.209717,0.218750
2025-11-26 22:28:39 - 201,2.196045,0.062500
2025-11-26 22:28:39 - 202,2.274170,0.125000
2025-11-26 22:28:39 - 203,2.278564,0.093750
2025-11-26 22:28:39 - 204,2.182617,0.312500
2025-11-26 22:28:39 - 205,1.995117,0.343750
2025-11-26 22:28:39 - 206,2.138916,0.250000
2025-11-26 22:28:39 - 207,2.120361,0.312500
2025-11-26 22:28:39 - 208,2.090576,0.156250
2025-11-26 22:28:39 - 209,2.262451,0.156250
2025-11-26 22:28:39 - 210,2.173340,0.281250
2025-11-26 22:28:39 - 211,2.291748,0.187500
2025-11-26 22:28:39 - 212,2.087646,0.156250
2025-11-26 22:28:39 - 213,2.152588,0.281250
2025-11-26 22:28:39 - 214,2.149902,0.250000
2025-11-26 22:28:39 - 215,2.162842,0.156250
2025-11-26 22:28:39 - 216,2.256104,0.250000
2025-11-26 22:28:39 - 217,2.010010,0.375000
2025-11-26 22:28:39 - 218,2.174072,0.187500
2025-11-26 22:28:39 - 219,2.072754,0.187500
2025-11-26 22:28:39 - 220,2.274170,0.093750
2025-11-26 22:28:39 - 221,2.179199,0.187500
2025-11-26 22:28:39 - 222,2.222656,0.343750
2025-11-26 22:28:39 - 223,2.166260,0.125000
2025-11-26 22:28:39 - 224,2.159424,0.125000
2025-11-26 22:28:39 - 225,2.151611,0.281250
2025-11-26 22:28:39 - 226,2.153809,0.187500
2025-11-26 22:28:39 - 227,2.146729,0.218750
2025-11-26 22:28:39 - 228,2.222656,0.250000
2025-11-26 22:28:39 - 229,2.082764,0.218750
2025-11-26 22:28:39 - 230,2.042236,0.312500
2025-11-26 22:28:39 - 231,2.074951,0.187500
2025-11-26 22:28:39 - 232,2.160645,0.281250
2025-11-26 22:28:39 - 233,2.174561,0.281250
2025-11-26 22:28:39 - 234,2.018066,0.406250
2025-11-26 22:28:39 - 235,2.162109,0.281250
2025-11-26 22:28:39 - 236,2.226318,0.093750
2025-11-26 22:28:39 - 237,2.235352,0.187500
2025-11-26 22:28:39 - 238,2.092285,0.218750
2025-11-26 22:28:39 - 239,2.192383,0.187500
2025-11-26 22:28:39 - 240,2.097168,0.156250
2025-11-26 22:28:39 - 241,2.170898,0.281250
2025-11-26 22:28:39 - 242,2.137939,0.281250
2025-11-26 22:28:39 - 243,2.019287,0.375000
2025-11-26 22:28:39 - 244,2.194336,0.187500
2025-11-26 22:28:39 - 245,2.108154,0.187500
2025-11-26 22:28:39 - 246,2.179688,0.281250
2025-11-26 22:28:39 - 247,2.092285,0.312500
2025-11-26 22:28:39 - 248,2.119141,0.218750
2025-11-26 22:28:39 - 249,2.193115,0.125000
2025-11-26 22:28:39 - 250,2.089111,0.187500
2025-11-26 22:28:39 - 251,2.098145,0.281250
2025-11-26 22:28:39 - 252,2.055420,0.218750
2025-11-26 22:28:39 - 253,2.233643,0.156250
2025-11-26 22:28:39 - 254,2.139160,0.312500
2025-11-26 22:28:39 - 255,1.903076,0.468750
2025-11-26 22:28:39 - 256,2.160889,0.187500
2025-11-26 22:28:39 - 257,2.144287,0.156250
2025-11-26 22:28:39 - 258,2.116699,0.218750
2025-11-26 22:28:39 - 259,2.200439,0.218750
2025-11-26 22:28:39 - 260,2.139648,0.312500
2025-11-26 22:28:39 - 261,2.067627,0.250000
2025-11-26 22:28:39 - 262,2.085693,0.312500
2025-11-26 22:28:39 - 263,2.263672,0.218750
2025-11-26 22:28:39 - 264,2.137939,0.218750
2025-11-26 22:28:39 - 265,2.162354,0.218750
2025-11-26 22:28:39 - 266,2.111572,0.250000
2025-11-26 22:28:39 - 267,2.094482,0.281250
2025-11-26 22:28:39 - 268,2.195557,0.187500
2025-11-26 22:28:39 - 269,2.019043,0.312500
2025-11-26 22:28:39 - 270,1.918945,0.406250
2025-11-26 22:28:39 - 271,1.904541,0.343750
2025-11-26 22:28:39 - 272,2.085449,0.343750
2025-11-26 22:28:39 - 273,2.239258,0.125000
2025-11-26 22:28:39 - 274,2.251953,0.250000
2025-11-26 22:28:39 - 275,1.981934,0.406250
2025-11-26 22:28:39 - 276,2.067383,0.281250
2025-11-26 22:28:39 - 277,2.106689,0.312500
2025-11-26 22:28:39 - 278,1.985840,0.406250
2025-11-26 22:28:39 - 279,2.085205,0.187500
2025-11-26 22:28:39 - 280,2.200195,0.156250
2025-11-26 22:28:39 - 281,1.952881,0.406250
2025-11-26 22:28:39 - 282,2.107422,0.218750
2025-11-26 22:28:39 - 283,2.127686,0.312500
2025-11-26 22:28:39 - 284,2.120605,0.218750
2025-11-26 22:28:39 - 285,1.999268,0.281250
2025-11-26 22:28:39 - 286,2.209229,0.281250
2025-11-26 22:28:39 - 287,2.110718,0.250000
2025-11-26 22:28:39 - 288,2.098389,0.125000
2025-11-26 22:28:39 - 289,1.963135,0.406250
2025-11-26 22:28:39 - 290,2.072754,0.281250
2025-11-26 22:28:39 - 291,2.050781,0.281250
2025-11-26 22:28:39 - 292,1.888184,0.437500
2025-11-26 22:28:39 - 293,1.957031,0.406250
2025-11-26 22:28:39 - 294,2.050293,0.250000
2025-11-26 22:28:39 - 295,2.132080,0.218750
2025-11-26 22:28:39 - 296,2.112549,0.312500
2025-11-26 22:28:39 - 297,2.029541,0.343750
2025-11-26 22:28:39 - 298,2.221191,0.125000
2025-11-26 22:28:39 - 299,2.107910,0.281250
2025-11-26 22:28:39 - 300,2.072754,0.218750
2025-11-26 22:28:40 - 301,2.174561,0.187500
2025-11-26 22:28:40 - 302,1.927246,0.343750
2025-11-26 22:28:40 - 303,2.023682,0.250000
2025-11-26 22:28:40 - 304,2.043579,0.343750
2025-11-26 22:28:40 - 305,2.184082,0.281250
2025-11-26 22:28:40 - 306,2.121826,0.343750
2025-11-26 22:28:40 - 307,2.028442,0.281250
2025-11-26 22:28:40 - 308,2.069580,0.250000
2025-11-26 22:28:40 - 309,1.960938,0.468750
2025-11-26 22:28:40 - 310,1.920166,0.281250
2025-11-26 22:28:40 - 311,1.977051,0.343750
2025-11-26 22:28:40 - 312,1.937256,0.375000
2025-11-26 22:28:40 - 313,2.051392,0.343750
2025-11-26 22:28:40 - 314,1.878174,0.406250
2025-11-26 22:28:40 - 315,2.025146,0.281250
2025-11-26 22:28:40 - 316,1.946533,0.343750
2025-11-26 22:28:40 - 317,2.265625,0.156250
2025-11-26 22:28:40 - 318,1.934326,0.312500
2025-11-26 22:28:40 - 319,2.109619,0.281250
2025-11-26 22:28:40 - 320,2.163330,0.218750
2025-11-26 22:28:40 - 321,1.903564,0.437500
2025-11-26 22:28:40 - 322,2.008545,0.343750
2025-11-26 22:28:40 - 323,1.955566,0.281250
2025-11-26 22:28:40 - 324,2.034668,0.250000
2025-11-26 22:28:40 - 325,1.966797,0.406250
2025-11-26 22:28:40 - 326,2.021240,0.312500
2025-11-26 22:28:40 - 327,2.132080,0.187500
2025-11-26 22:28:40 - 328,2.162354,0.250000
2025-11-26 22:28:40 - 329,2.081543,0.281250
2025-11-26 22:28:40 - 330,1.837158,0.437500
2025-11-26 22:28:40 - 331,1.939209,0.343750
2025-11-26 22:28:40 - 332,2.011353,0.406250
2025-11-26 22:28:40 - 333,1.976685,0.343750
2025-11-26 22:28:40 - 334,1.817871,0.375000
2025-11-26 22:28:40 - 335,2.020508,0.375000
2025-11-26 22:28:40 - 336,1.981934,0.312500
2025-11-26 22:28:40 - 337,2.027222,0.343750
2025-11-26 22:28:40 - 338,2.136963,0.250000
2025-11-26 22:28:40 - 339,1.900146,0.250000
2025-11-26 22:28:40 - 340,2.139648,0.281250
2025-11-26 22:28:40 - 341,1.948486,0.281250
2025-11-26 22:28:40 - 342,1.893799,0.250000
2025-11-26 22:28:40 - 343,2.030762,0.343750
2025-11-26 22:28:40 - 344,2.037598,0.375000
2025-11-26 22:28:40 - 345,1.983398,0.406250
2025-11-26 22:28:40 - 346,1.873413,0.343750
2025-11-26 22:28:40 - 347,2.150879,0.281250
2025-11-26 22:28:40 - 348,1.896484,0.406250
2025-11-26 22:28:40 - 349,1.995605,0.343750
2025-11-26 22:28:40 - 350,1.958496,0.437500
2025-11-26 22:28:40 - 351,2.020386,0.343750
2025-11-26 22:28:40 - 352,1.854004,0.468750
2025-11-26 22:28:40 - 353,1.907593,0.406250
2025-11-26 22:28:40 - 354,2.046143,0.281250
2025-11-26 22:28:40 - 355,2.062988,0.281250
2025-11-26 22:28:40 - 356,1.995117,0.375000
2025-11-26 22:28:40 - 357,1.824463,0.343750
2025-11-26 22:28:40 - 358,1.992920,0.281250
2025-11-26 22:28:40 - 359,2.011475,0.218750
2025-11-26 22:28:40 - 360,1.915283,0.375000
2025-11-26 22:28:40 - 361,1.745239,0.531250
2025-11-26 22:28:40 - 362,1.963379,0.312500
2025-11-26 22:28:40 - 363,2.248291,0.156250
2025-11-26 22:28:40 - 364,1.963867,0.250000
2025-11-26 22:28:40 - 365,2.050903,0.375000
2025-11-26 22:28:40 - 366,2.096680,0.343750
2025-11-26 22:28:40 - 367,1.688965,0.531250
2025-11-26 22:28:40 - 368,2.048218,0.281250
2025-11-26 22:28:40 - 369,1.889893,0.375000
2025-11-26 22:28:40 - 370,1.777100,0.343750
2025-11-26 22:28:40 - 371,1.898193,0.406250
2025-11-26 22:28:40 - 372,1.909790,0.406250
2025-11-26 22:28:40 - 373,1.877197,0.281250
2025-11-26 22:28:40 - 374,1.810913,0.437500
